record_id,account_id,amount,status,last_updated_date
TXN-00181,ACC-1793,2328.54,SETTLED,2026-08-15
TXN-00309,ACC-1731,418.51,SETTLED,2026-06-06
TXN-00237,ACC-1885,2477.34,REVERSED,2026-08-24
TXN-00144,ACC-1730,1382.21,SETTLED,2026-07-11
TXN-00302,ACC-1038,287.22,PENDING,2026-06-10
TXN-00297,ACC-1823,566.09,REVERSED,2026-06-19
TXN-00132,ACC-1589,945.37,SETTLED,2026-08-03
TXN-00147,ACC-1424,1965.36,SETTLED,2026-07-24
TXN-00175,ACC-1801,211.52,SETTLED,2026-08-24
TXN-00128,ACC-1634,1600.40,PENDING,2026-07-01
TXN-00245,ACC-1472,4506.43,SETTLED,2026-06-20
TXN-00057,ACC-1689,3141.78,SETTLED,2026-06-08
TXN-00124,ACC-1293,993.74,PENDING,2026-08-17
TXN-00055,ACC-1194,466.35,SETTLED,2026-07-16
TXN-00275,ACC-1634,3283.80,SETTLED,2026-08-14
TXN-00027,ACC-1408,1747.15,FAILED,2026-06-18
TXN-00241,ACC-1134,4453.91,SETTLED,2026-08-29
TXN-00129,ACC-1688,1500.36,PENDING,2026-06-19
TXN-00279,ACC-1452,4537.95,REVERSED,2026-07-09
TXN-00134,ACC-1914,3608.37,PENDING,2026-06-14
TXN-00168,ACC-1785,1780.16,SETTLED,2026-06-15
TXN-00216,ACC-1418,2170.66,REVERSED,2026-07-08
TXN-00186,ACC-1363,3832.63,SETTLED,2026-08-16
TXN-00110,ACC-1339,4509.25,SETTLED,2026-07-04
TXN-00137,ACC-1467,653.03,SETTLED,2026-08-07
TXN-00234,ACC-1421,3334.23,SETTLED,2026-07-22
TXN-00286,ACC-1763,2391.84,FAILED,2026-07-07
TXN-00068,ACC-1677,3452.58,SETTLED,2026-07-08
TXN-00097,ACC-1315,1759.86,FAILED,2026-06-06
TXN-00116,ACC-1703,3457.47,PENDING,2026-08-25
TXN-00030,ACC-1610,318.98,SETTLED,2026-07-30
TXN-00005,ACC-1203,3441.15,PENDING,2026-07-24
TXN-00170,ACC-1592,137.87,SETTLED,2026-08-26
TXN-00117,ACC-1201,1757.80,SETTLED,2026-08-25
TXN-00254,ACC-1495,1666.42,SETTLED,2026-08-09
TXN-00123,ACC-1308,1958.07,PENDING,2026-07-09
TXN-00018,ACC-1073,2929.69,SETTLED,2026-07-02
TXN-00154,ACC-1497,153.88,SETTLED,2026-08-21
TXN-00037,ACC-1623,966.79,SETTLED,2026-06-21
TXN-00301,ACC-1360,2442.61,SETTLED,2026-07-28
TXN-00263,ACC-1480,3754.60,SETTLED,2026-08-19
TXN-00266,ACC-1641,3454.06,PENDING,2026-08-09
TXN-00140,ACC-1850,4354.30,SETTLED,2026-06-21
TXN-00107,ACC-1228,128.23,SETTLED,2026-07-13
TXN-00095,ACC-1925,728.22,SETTLED,2026-07-18
TXN-00291,ACC-1316,3788.50,SETTLED,2026-07-17
TXN-00014,ACC-1233,3714.13,REVERSED,2026-06-30
TXN-00109,ACC-1359,3084.49,SETTLED,2026-08-08
TXN-00080,ACC-1469,2987.25,SETTLED,2026-06-13
TXN-00299,ACC-1406,4643.39,PENDING,2026-07-17
TXN-00239,ACC-1530,1746.11,PENDING,2026-08-12
TXN-00215,ACC-1245,846.70,SETTLED,2026-06-01
TXN-00294,ACC-1897,4663.58,SETTLED,2026-07-05
TXN-00242,ACC-1496,596.02,REVERSED,2026-08-17
TXN-00192,ACC-1313,3192.05,REVERSED,2026-08-10
TXN-00222,ACC-1169,3847.50,SETTLED,2026-08-12
TXN-00044,ACC-1169,1283.30,FAILED,2026-07-19
TXN-00088,ACC-1159,1318.19,SETTLED,2026-07-14
TXN-00077,ACC-1209,3219.64,SETTLED,2026-07-04
TXN-00032,ACC-1696,3463.65,SETTLED,2026-08-08
TXN-00089,ACC-1208,3304.67,FAILED,2026-08-04
TXN-00083,ACC-1378,1378.66,SETTLED,2026-08-09
TXN-00213,ACC-1983,3556.33,FAILED,2026-06-27
TXN-00025,ACC-1271,683.13,PENDING,2026-08-08
